Database,Influenza Subtype,No. HA Sequences,No. NA Sequences,Total
GISAID,H1N1,65634,61914,127548
GISAID,H1N2,857,857,1714
GISAID,H3N2,98138,91812,189950
GISAID,H5N1,1970,1943,3913
GISAID,H5N2,22,24,46
GISAID,H5N6,186,186,372
GISAID,H5N8,1449,1401,2850
GISAID,H7N1,3,3,6
GISAID,H7N2,2,2,4
GISAID,H7N3,101,99,200
GISAID,H7N5,1,1,2
GISAID,H7N6,8,8,16
GISAID,H7N7,57,56,113
GISAID,H7N8,4,4,8
GISAID,H7N9,1265,1264,2529
GISAID,H9N2,312,312,624
GISAID,H10N8,1,1,2
NCBI,H1N1,18578,16913,35491
NCBI,H3N2,18835,15243,34078
NCBI,H5N1,1,1,2
NCBI,H5N8,1,1,2
NCBI,H7N7,1,1,2
NCBI,H7N9,2,2,4
,,207428,192048,399476
