,name,subtype,collection_date,accession
0,A/Indiana/08/2011,H3N2,2011-07-27,EPI344405
1,A/Guizhou/1/2013,H5N1,2013-02-08,EPI420386
2,A/Guizhou/2/2013,H5N1,2013-02-09,EPI420391
3,A/Indonesia/NIHRD12550/2012,H5N1,2012-12-06,EPI442763
4,A/Indonesia/NIHRD13157/2013,H5N1,2013-06-18,EPI463648
5,A/Cambodia/X0125302/2013,H5N1,2013-01-25,EPI485581
6,A/Cambodia/X0810301/2013,H5N1,2013-08-09,EPI485587
7,A/Indonesia/NIHRD13233/2013,H5N1,2013-09-27,EPI492524
8,A/Cambodia/X1030304/2013,H5N1,2013-10-25,EPI497961
9,A/Alberta/01/2014,H5N1,2014-01-03,EPI500771
10,A/Indonesia/NIHRD13269/2013,H5N1,2013-11-11,EPI509937
11,A/Cambodia/X0628313/2013,H5N1,2013-06-28,EPI531266
12,A/Cambodia/X0808305/2013,H5N1,2013-07-08,EPI531274
13,A/Cambodia/X0817302/2013,H5N1,2013-08-16,EPI531294
14,A/Cambodia/X0828324/2013,H5N1,2013-02-28,EPI531302
15,A/Cambodia/X0810301/2013,H5N1,2013-08-09,EPI531306
16,A/Cambodia/X1024307/2013,H5N1,2013-10-22,EPI531332
17,A/Indonesia/NIHRD14122/2014,H5N1,2014-04-19,EPI531959
18,A/Sichuan/26221/2014,H5N6,2014-04-21,EPI533583
19,A/Egypt/N01753/2014,H5N1,2014-03-06,EPI537617
20,A/Egypt/N01754/2014,H5N1,2014-03-07,EPI537618
21,A/Cambodia/X1107305/2013,H5N1,2013-11-07,EPI537657
22,A/Cambodia/X0123311/2013,H5N1,2013-01-09,EPI542804
23,A/Cambodia/X0123312/2013,H5N1,2013-01-23,EPI542812
24,A/Cambodia/X0207301/2013,H5N1,2013-02-06,EPI542820
25,A/Cambodia/X0212301/2013,H5N1,2013-02-11,EPI542828
26,A/Cambodia/X0219301/2013,H5N1,2013-02-18,EPI542836
27,A/Cambodia/X0215301/2013,H5N1,2013-02-13,EPI542841
28,A/Indonesia/NIHRD14157/2014,H5N1,2014-06-06,EPI547699
29,A/Egypt/MOH-NRC-7271/2014,H5N1,2014-11-26,EPI574125
30,A/Egypt/MOH-NRC-7305/2014,H5N1,2014-11-28,EPI574132
31,A/Yunnan/14563/2015,H5N6,2015-02-06,EPI587621
32,A/Yunnan/14564/2015,H5N6,2015-02-05,EPI587629
33,A/Guangzhou/39715/2014,H5N6,2014-12-11,EPI593889
34,A/Vietnam/14011801/2014,H5N1,2014-01-18,EPI624914
35,A/Vietnam/14012902/2014,H5N1,2014-01-28,EPI624922
36,A/Vietnam/VP13-28H/2013,H5N1,2013-04-04,EPI624930
37,A/Vietnam/VP39/2013,H5N1,2013-11-15,EPI639614
38,A/Yunnan/0127/2015,H5N6,2015-02-06,EPI641398
39,A/Egypt/682/2015,H5N1,2015-01-15,EPI642537
40,A/Indonesia/NIHRD/15023/2015,H5N1,2015-03-24,EPI643069
41,A/Indonesia/NIHRD15028/2015,H5N1,2015-03-25,EPI643072
42,A/Yunnan/DQ001/2015(H5N6),H5N6,2015-02-10,EPI668887
43,A/Yunnan/DQ002/2015(H5N6),H5N6,2015-07-10,EPI668895
44,A/Shenzhen/1/2015,H5N6,2015-12-28,EPI684541
45,A/Shenzhen/TH001/2015_(H5N6),H5N6,2015-12-29,EPI685597
46,A/Shenzhen/1/2016,H5N6,2016-01-07,EPI687704
47,A/_Guangdong_/SZ872/2015?H5N6?,H5N6,2015-12-28,EPI691370
48,A/_Guangdong_/ZQ874/2015?H5N6?,H5N6,2015-12-31,EPI691378
49,A/Shenzhen/TH003/2016(H5N6),H5N6,2016-01-15,EPI693817
50,A/Shenzhen/TH002/2016(H5N6),H5N6,2016-01-06,EPI693866
51,A/Changsha/1/2014,H5N6,2014-02-23,EPI736914
52,A/Guangdong/99710/2014,H5N6,2014-12-17,EPI749881
53,A/Egypt/N04915/2014__NIBRG-306,H5N1,2016-08-31,EPI827077
54,A/Hunan/55555/2016,H5N6,2016-11-18,EPI873668
55,A/Guangxi/55726/2016,H5N6,2016-11-24,EPI873669
56,A/Cambodia/Y0208301/2014,H5N1,2014-02-07,EPI954435
57,A/Hubei/29578/2016,H5N6,2016-04-15,EPI961183
58,A/Egypt/N04915/2014,H5N1,2014-11-12,EPI993793
59,A/Indonesia/NIHRD17109/2017,H5N1,2017-09-08,EPI1079019
60,A/Anhui/33162/2016,H5N6,2016-04-28,EPI1098355
61,A/Anhui/33163/2016,H5N6,2016-04-29,EPI1098356
62,A/Fujian-Sanyuan/21099/2017,H5N6,2017-12-25,EPI1202729
63,A/Jiangsu/1/2018,H5N6,2018-11-06,EPI1326815
64,A/Jiangsu/1/2018,H5N6,2018-11-06,EPI1326831
65,A/Guangxi/31906/2018,H5N6,2018-08-15,EPI1352805
66,A/Guangdong/18SF020/2018,H5N6,2018-09-29,EPI1352813
67,A/Jiangsu/32888/2018,H5N6,2018-11-06,EPI1352821
68,A/Guangxi/32797/2018,H5N6,2018-10-25,EPI1352829
69,A/Guangxi/13486/2017,H5N6,2017-11-17,EPI1352861
70,A/Hubei/29578/2016_x_PR8__(CNIC-HB29578),H5N6,2016-04-10,EPI1369965
71,A/Fujian-Sanyuan/21099/2017_x_PR8_(CNIC-21099),H5N6,2017-12-25,EPI1369973
72,A/Indonesia/NIHRD13233/2013,H5N1,2013-09-27,EPI1377734
73,A/Indonesia/NIHRD13269/2013,H5N1,2013-11-11,EPI1377742
74,A/Indonesia/NIHRD15028/2015,H5N1,2015-03-25,EPI1377764
75,A/Nepal/19FL1997/2019,H5N1,2019-03-25,EPI1435654
76,A/Nepal/19FL1997/2019,H5N1,2019-03-25,EPI1435662
77,A/Nepal/19FL1997/2019,H5N1,2019-03-25,EPI1449522
78,A/China/Original/2018,H5N6,2018-11-06,EPI1508808
79,A/Nanjing/1/2015,H5N1,2015-01-21,EPI1555412
80,A/Jiangsu/1/2020_?H5N6?,H5N6,2020-11-25,EPI1838640
81,A/Jiangsu/1/2020(H5N6),H5N6,2020-11-28,EPI1838663
82,A/Laos/2121/2020,H5N1,2020-10-16,EPI1842225
83,A/Astrakhan/3212/2020,H5N8,2020-12-12,EPI1846961
84,A/Chongqing/00013/2021,H5N6,2021-01-02,EPI1848291
85,A/Anhui/2021-00011/2020,H5N6,2020-12-22,EPI1848299
86,A/Sichuan/06681/2021,H5N6,2021-07-03,EPI1883261
87,A/GX-hechi/01/2021,H5N6,2021-02-27,EPI1887779
88,A/GX-guilin/11151/2021,H5N6,2021-07-14,EPI1887789
89,A/Sichuan/06689/2021,H5N6,2021-07-05,EPI1918700
90,A/Hunan/09285/2021,H5N6,2021-08-07,EPI1918708
91,A/Hunan/09911/2021,H5N6,2021-09-03,EPI1918710
92,A/Chongqing/02/2021,H5N6,2021-07-09,EPI1918712
93,A/Hunan/10117/2021,H5N6,2021-09-11,EPI1921210
94,A/Hangzhou/01/2021,H5N6,2021-12-22,EPI1946730
95,A/Fujian-Sanyuan/21099/2017,H5N6,2017-01-01,EPI1957313
96,A/Turkey/Indiana/1573-2/2016,H7N8,2016-01-15,EPI744951
97,A/California/62/2018,H1N2,2018-08-06,EPI1311361
98,A/Hong_Kong/308/2014,H9N2,2013-12-28,EPI498037
99,A/Bangladesh/0994/2011,H9N2,2011-02-26,EPI445996
100,A/Guangdong/W1/2004,H9N2,2004-06-20,EPI846047
101,A/Nanchang/D2/2000,H9N2,2000-09-01,EPI470995
102,A/Nanchang/CH2/2000,H9N2,2000-09-01,EPI470991
103,A/Hong_Kong/69955/2008,H9N2,2008-09-01,EPI470960
104,A/Nanchang/CH3/2000,H9N2,2000-09-01,EPI470948
105,A/Nanchang/D1/2000,H9N2,2000-09-01,EPI470911
106,A/Hong_Kong/33982/2009,H9N2,2009-09-01,EPI470900
107,A/Hong_Kong/1074/1999,H9N2,1999-01-01,EPI239022
108,A/Korea/KBNP-0028/2000,H9N2,2000-01-01,EPI118890
109,A/Hong_Kong/1073/99,H9N2,1999-01-01,EPI12024
110,A/Darwin/43/2021,H3N2,2021-10-31,EPI1928853
111,A/Darwin/45/2021,H3N2,2021-10-26,EPI1928850
112,A/Darwin/40/2021,H3N2,2021-10-11,EPI1928847
113,A/Darwin/42/2021,H3N2,2021-10-11,EPI1927543
114,A/Darwin/39/2021,H3N2,2021-10-11,EPI1927535
115,A/Darwin/37/2021,H3N2,2021-10-05,EPI1924425
116,A/Netherlands/00013/2021,H3N2,2021-10-08,EPI1937559
117,A/Netherlands/00012/2021,H3N2,2021-10-04,EPI1937557
118,A/Netherlands/00078/2021,H3N2,2021-11-01,EPI1941495
119,A/Netherlands/00077/2021,H3N2,2021-11-17,EPI1941492
120,A/Netherlands/00072/2021,H3N2,2021-11-17,EPI1941491
121,A/Netherlands/00071/2021,H3N2,2021-11-15,EPI1941489
122,A/Netherlands/00069/2021,H3N2,2021-11-10,EPI1941486
123,A/Netherlands/00064/2021,H3N2,2021-11-09,EPI1928164
124,A/Netherlands/00053/2021,H3N2,2021-11-07,EPI1928161
125,A/Netherlands/00046/2021,H3N2,2021-10-31,EPI1927495
126,A/Netherlands/00044/2021,H3N2,2021-10-16,EPI1927492
127,A/Netherlands/00043/2021,H3N2,2021-10-26,EPI1927489
128,A/Netherlands/00042/2021,H3N2,2021-10-29,EPI1927486
129,A/Netherlands/00039/2021,H3N2,2021-10-28,EPI1927483
130,A/Netherlads/00027/2021,H3N2,2021-10-23,EPI1925394
131,A/Netherlads/00025/2021,H3N2,2021-10-21,EPI1925391
132,A/Netherlads/00021/2021,H3N2,2021-10-15,EPI1925388
133,A/Netherlads/00020/2021,H3N2,2021-10-12,EPI1925385
134,A/Netherlands/00015/2021,H3N2,2021-10-07,EPI1922832
135,A/Netherlands/00012/2021,H3N2,2021-10-04,EPI1922829
136,A/Netherlands/00013/2021,H3N2,2021-10-08,EPI1920645
137,A/Florida/01/2021,H3N2,2021-10-20,EPI1941031
138,A/Florida/02/2021,H3N2,2021-10-20,EPI1940991
139,A/Florida/02/2021,H3N2,2021-10-20,EPI1940442
140,A/District_Of_Columbia/02/2021,H3N2,2021-10-26,EPI1940999
141,A/District_Of_Columbia/02/2021,H3N2,2021-10-26,EPI1940600
142,A/District_Of_Columbia/01/2021,H3N2,2021-10-20,EPI1928395
143,A/District_Of_Columbia/01/2021,H3N2,2021-10-20,EPI1928355
144,A/CastillaLaMancha/9757/2021,H3N2,2021-11-16,EPI1937592
145,A/CastillaLaMancha/9756/2021,H3N2,2021-11-21,EPI1937591
146,A/CastillaLaMancha/9755/2021,H3N2,2021-11-16,EPI1937590
147,A/CastillaLaMancha/9754/2021,H3N2,2021-11-17,EPI1937589
148,A/Asturias/9665/2021,H3N2,2021-11-14,EPI1937578
149,A/North_Carolina/03/2021,H3N2,2021-10-25,EPI1941015
150,A/North_Carolina/04/2021,H3N2,2021-10-27,EPI1940467
151,A/North_Carolina/03/2021,H3N2,2021-10-25,EPI1940426
152,A/North_Carolina/04/2021,H3N2,2021-10-27,EPI1940418
153,A/Maryland/06/2021,H3N2,2021-11-07,EPI1940757
154,A/Maryland/06/2021,H3N2,2021-11-07,EPI1940520
155,A/Maryland/05/2021,H3N2,2021-10-24,EPI1936426
156,A/Maryland/05/2021,H3N2,2021-10-24,EPI1936418
157,A/Maryland/04/2021,H3N2,2021-10-12,EPI1926553
158,A/Maryland/02/2021,H3N2,2021-10-03,EPI1926537
159,A/Maryland/03/2021,H3N2,2021-10-05,EPI1926521
160,A/Maryland/01/2021,H3N2,2021-10-05,EPI1926473
161,A/Maryland/03/2021,H3N2,2021-10-05,EPI1926458
162,A/Maryland/02/2021,H3N2,2021-10-03,EPI1926450
163,A/Maryland/04/2021,H3N2,2021-10-12,EPI1926442
164,A/Maryland/01/2021,H3N2,2021-10-05,EPI1926434
165,A/Wyoming/02/2021,H3N2,2021-10-28,EPI1940789
166,A/Wyoming/01/2021,H3N2,2021-10-27,EPI1940720
167,A/Wyoming/01/2021,H3N2,2021-10-27,EPI1940480
168,A/Wyoming/02/2021,H3N2,2021-10-28,EPI1940472
169,A/New_Hampshire/01/2021,H3N2,2021-11-04,EPI1941072
170,A/New_Hampshire/01/2021,H3N2,2021-11-04,EPI1940765
171,A/Georgia/02/2021,H3N2,2021-11-05,EPI1941095
172,A/Georgia/01/2021,H3N2,2021-11-04,EPI1940714
173,A/Georgia/02/2021,H3N2,2021-11-05,EPI1940672
174,A/Georgia/01/2021,H3N2,2021-11-04,EPI1940379
175,A/Pennsylvania/05/2021,H3N2,2021-11-04,EPI1941087
176,A/Pennsylvania/05/2021,H3N2,2021-11-04,EPI1940804
177,A/Pennsylvania/04/2021,H3N2,2021-11-04,EPI1940796
178,A/Pennsylvania/03/2021,H3N2,2021-11-03,EPI1940708
179,A/Pennsylvania/03/2021,H3N2,2021-11-03,EPI1940560
180,A/Pennsylvania/04/2021,H3N2,2021-11-04,EPI1940536
181,A/Iowa/08/2021,H3N2,2021-11-10,EPI1940749
182,A/Iowa/09/2021,H3N2,2021-11-10,EPI1940702
183,A/Iowa/07/2021,H3N2,2021-11-09,EPI1940686
184,A/Iowa/07/2021,H3N2,2021-11-09,EPI1940576
185,A/Iowa/09/2021,H3N2,2021-11-10,EPI1940544
186,A/Iowa/08/2021,H3N2,2021-11-10,EPI1940363
187,A/Florida/04/2021,H3N2,2021-10-28,EPI1941080
188,A/Florida/04/2021,H3N2,2021-10-28,EPI1941023
189,A/Florida/05/2021,H3N2,2021-11-01,EPI1940403
190,A/Florida/05/2021,H3N2,2021-11-01,EPI1940316
191,A/Massachusetts/03/2021,H3N2,2021-11-03,EPI1941064
192,A/Massachusetts/03/2021,H3N2,2021-11-03,EPI1940828
193,A/Massachusetts/02/2021,H3N2,2021-11-01,EPI1940781
194,A/Massachusetts/04/2021,H3N2,2021-11-04,EPI1940616
195,A/Massachusetts/02/2021,H3N2,2021-11-01,EPI1940592
196,A/Massachusetts/01/2021,H3N2,2021-10-08,EPI1926529
197,A/Massachusetts/01/2021,H3N2,2021-10-08,EPI1926426
198,A/Michigan/10/2021,H3N2,2021-10-25,EPI1928451
199,A/Michigan/13/2021,H3N2,2021-10-27,EPI1928443
200,A/Michigan/12/2021,H3N2,2021-10-27,EPI1928427
201,A/Michigan/09/2021,H3N2,2021-10-06,EPI1928419
