,name,subtype,collection_date,accession
202,A/Michigan/11/2021,H3N2,2021-10-26,EPI1928411
203,A/Michigan/15/2021,H3N2,2021-10-28,EPI1928379
204,A/Michigan/14/2021,H3N2,2021-10-27,EPI1928371
205,A/Michigan/15/2021,H3N2,2021-10-28,EPI1928347
206,A/Michigan/09/2021,H3N2,2021-10-06,EPI1928339
207,A/Michigan/12/2021,H3N2,2021-10-27,EPI1928331
208,A/Michigan/10/2021,H3N2,2021-10-25,EPI1928306
209,A/Michigan/13/2021,H3N2,2021-10-27,EPI1928298
210,A/Michigan/14/2021,H3N2,2021-10-27,EPI1928290
211,A/Michigan/11/2021,H3N2,2021-10-26,EPI1928282
212,A/Michigan/08/2021,H3N2,2021-10-15,EPI1926561
213,A/Michigan/08/2021,H3N2,2021-10-15,EPI1926513
214,A/Michigan/07/2021,H3N2,2021-10-12,EPI1926505
215,A/Michigan/06/2021,H3N2,2021-10-12,EPI1926497
216,A/Michigan/07/2021,H3N2,2021-10-12,EPI1926418
217,A/Michigan/06/2021,H3N2,2021-10-12,EPI1926410
218,A/Wisconsin/08/2021,H3N2,2021-11-06,EPI1940983
219,A/Wisconsin/10/2021,H3N2,2021-11-10,EPI1940975
220,A/Wisconsin/08/2021,H3N2,2021-11-06,EPI1940584
221,A/Wisconsin/09/2021,H3N2,2021-11-09,EPI1940504
222,A/Wisconsin/10/2021,H3N2,2021-11-10,EPI1940410
223,A/Wisconsin/09/2021,H3N2,2021-11-09,EPI1940332
224,A/Wisconsin/07/2021,H3N2,2021-10-26,EPI1926577
225,A/Wisconsin/06/2021,H3N2,2021-10-21,EPI1926569
226,A/Wisconsin/06/2021,H3N2,2021-10-21,EPI1926545
227,A/Wisconsin/07/2021,H3N2,2021-10-26,EPI1926481
228,A/Tennessee/01/2021,H3N2,2021-11-01,EPI1940773
229,A/Tennessee/02/2021,H3N2,2021-11-02,EPI1940680
230,A/Tennessee/01/2021,H3N2,2021-11-01,EPI1940624
231,A/Tennessee/02/2021,H3N2,2021-11-02,EPI1940356
232,A/Arizona/02/2021,H3N2,2021-10-21,EPI1928435
233,A/Arizona/03/2021,H3N2,2021-10-21,EPI1928387
234,A/Arizona/02/2021,H3N2,2021-10-21,EPI1928363
235,A/Arizona/03/2021,H3N2,2021-10-21,EPI1928315
236,A/Rhode_Island/03/2021,H3N2,2021-11-03,EPI1941047
237,A/Rhode_Island/01/2021,H3N2,2021-11-03,EPI1941039
238,A/Rhode_Island/01/2021,H3N2,2021-11-03,EPI1940640
239,A/Rhode_Island/03/2021,H3N2,2021-11-03,EPI1940608
240,A/Rhode_Island/02/2021,H3N2,2021-11-03,EPI1940528
241,A/Rhode_Island/02/2021,H3N2,2021-11-03,EPI1940292
242,A/Ohio/06/2021,H3N2,2021-10-10,EPI1941541
243,A/Ohio/05/2021,H3N2,2021-11-04,EPI1940820
244,A/Ohio/05/2021,H3N2,2021-11-04,EPI1940459
245,A/Ohio/04/2021,H3N2,2021-10-27,EPI1928323
246,A/California/07/2021,H3N2,2021-10-15,EPI1941110
247,A/California/04/2021,H3N2,2021-10-20,EPI1941007
248,A/California/10/2021,H3N2,2021-10-27,EPI1940844
249,A/California/09/2021,H3N2,2021-10-25,EPI1940812
250,A/California/08/2021,H3N2,2021-10-15,EPI1940741
251,A/California/06/2021,H3N2,2021-10-10,EPI1940725
252,A/California/05/2021,H3N2,2021-10-21,EPI1940552
253,A/California/09/2021,H3N2,2021-10-25,EPI1940512
254,A/California/04/2021,H3N2,2021-10-20,EPI1940496
255,A/California/06/2021,H3N2,2021-10-10,EPI1940395
256,A/California/07/2021,H3N2,2021-10-15,EPI1940387
257,A/California/08/2021,H3N2,2021-10-15,EPI1940371
258,A/California/10/2021,H3N2,2021-10-27,EPI1940340
259,A/California/05/2021,H3N2,2021-10-21,EPI1940300
260,A/California/03/2021,H3N2,2021-10-11,EPI1926465
261,A/Delaware/02/2021,H3N2,2021-10-25,EPI1941055
262,A/Delaware/02/2021,H3N2,2021-10-25,EPI1940434
263,A/Andalucia/9561/2021,H3N2,2021-10-08,EPI1937577
264,A/Asturias/9692/2021,H3N2,2021-11-07,EPI1937579
265,A/Canarias/9717/2021,H3N2,2021-11-15,EPI1937586
266,A/Canarias/9716/2021,H3N2,2021-11-17,EPI1937585
267,A/Canarias/9715/2021,H3N2,2021-11-17,EPI1937584
268,A/Canarias/9714/2021,H3N2,2021-11-17,EPI1937583
269,A/Canarias/9579/2021,H3N2,2021-10-19,EPI1937581
270,A/Madrid/9664/2021,H3N2,2021-11-09,EPI1937597
271,A/Madrid/9663/2021,H3N2,2021-11-07,EPI1937596
272,A/Madrid/9661/2021,H3N2,2021-11-07,EPI1937594
273,A/Madrid/9536/2021,H3N2,2021-10-15,EPI1925518
274,A/Navarra/9506/2021,H3N2,2021-10-16,EPI1925520
275,A/Navarra/9643/2021,H3N2,2021-11-06,EPI1937599
276,A/PaisVasco/9693/2021,H3N2,2021-11-13,EPI1937604
277,A/Montana/04/2021,H3N2,2021-11-15,EPI1940836
278,A/Montana/02/2021,H3N2,2021-11-03,EPI1940733
279,A/Montana/03/2021,H3N2,2021-11-12,EPI1940694
280,A/Montana/04/2021,H3N2,2021-11-15,EPI1940568
281,A/Montana/02/2021,H3N2,2021-11-03,EPI1940450
282,A/Montana/03/2021,H3N2,2021-11-12,EPI1940348
283,A/Montana/01/2021,H3N2,2021-10-19,EPI1928403
284,A/Montana/01/2021,H3N2,2021-10-19,EPI1928273
285,A/Catalonia/NSVH81468/2021,H3N2,2021-11-25,EPI1941740
286,A/Catalonia/NSVH81080/2021,H3N2,2021-11-25,EPI1941732
287,A/Catalonia/NSVH24279/2021,H3N2,2021-11-23,EPI1939088
288,A/Catalonia/NSVH79977/2021,H3N2,2021-11-24,EPI1939080
289,A/Catalonia/NSVH75056/2021,H3N2,2021-11-17,EPI1935815
290,A/Catalonia/NSVH77439/2021,H3N2,2021-11-20,EPI1935807
291,A/Catalonia/NSVH75778/2021,H3N2,2021-11-18,EPI1935799
292,A/Catalonia/NSVH73716/2021,H3N2,2021-11-16,EPI1935791
293,A/Catalonia/NSVH20077/2021,H3N2,2021-11-18,EPI1935783
294,A/Catalonia/NSVH75781/2021,H3N2,2021-11-18,EPI1935775
295,A/Catalonia/NSVH78483/2021,H3N2,2021-11-22,EPI1935768
296,A/Catalonia/NSVH74661/2021,H3N2,2021-11-17,EPI1935760
297,A/Catalonia/NSVH78119/2021,H3N2,2021-11-21,EPI1935752
298,A/Catalonia/NSVH73872/2021,H3N2,2021-11-16,EPI1935744
299,A/Catalonia/NSVH74137/2021,H3N2,2021-11-16,EPI1935734
300,A/Catalonia/NSVH79021/2021,H3N2,2021-11-23,EPI1934964
301,A/Catalonia/NSVH72480/2021,H3N2,2021-11-14,EPI1928215
302,A/Catalonia/NSVH72018/2021,H3N2,2021-11-14,EPI1928207
303,A/Catalonia/NSVH71785/2021,H3N2,2021-11-13,EPI1928199
304,A/Catalonia/NSVH72533/2021,H3N2,2021-11-14,EPI1928191
305,A/Catalonia/NSVH69440/2021,H3N2,2021-11-11,EPI1928183
306,A/Catalonia/NSVH72524/2021,H3N2,2021-11-14,EPI1928175
307,A/Catalonia/NSVH63624/2021,H3N2,2021-11-03,EPI1926390
308,A/Catalonia/NSVH67872/2021,H3N2,2021-11-08,EPI1926377
309,A/Catalonia/NSVH67678/2021,H3N2,2021-11-08,EPI1926369
310,A/Catalonia/NSVH64536/2021,H3N2,2021-11-04,EPI1926361
311,A/Catalonia/NSVH64696/2021,H3N2,2021-11-04,EPI1926353
312,A/Catalonia/NSVH44851/2021,H3N2,2021-11-01,EPI1925427
313,A/Catalonia/NSVH10967/2021,H3N2,2021-10-13,EPI1922843
314,A/Catalonia/NSVH41004/2021,H3N2,2021-10-04,EPI1919209
315,A/Catalonia/NSVH41298/2021,H3N2,2021-10-04,EPI1919201
316,A/Catalonia/NSVH42492/2021,H3N2,2021-10-06,EPI1919193
317,A/Novosibirsk/RII-MH38239S/2021,H3N2,2021-11-07,EPI1937748
318,A/Novosibirsk/RII-MH38238S/2021,H3N2,2021-11-03,EPI1937740
319,A/Novosibirsk/RII-MH38237S/2021,H3N2,2021-11-02,EPI1937732
320,A/Novosibirsk/RII-MH38236S/2021,H3N2,2021-10-30,EPI1937724
321,A/Novosibirsk/RII-MH38235S/2021,H3N2,2021-10-27,EPI1937716
322,A/Novosibirsk/RII-1310S/2021,H3N2,2021-10-07,EPI1926211
323,A/Maryland/12432/2021,H3N2,2021-10-19,EPI1941808
324,A/Maryland/12431/2021,H3N2,2021-10-19,EPI1941800
325,A/Maryland/12430/2021,H3N2,2021-10-18,EPI1941792
326,A/Maryland/12429/2021,H3N2,2021-10-18,EPI1941784
327,A/Germany/12428/2021,H3N2,2021-10-15,EPI1941776
328,A/Germany/12427/2021,H3N2,2021-10-12,EPI1941768
329,A/Florida/12425/2021,H3N2,2021-11-08,EPI1941752
330,A/Maryland/12424/2021,H3N2,2021-10-14,EPI1926179
331,A/Maryland/12423/2021,H3N2,2021-10-14,EPI1926171
332,A/Maryland/12422/2021,H3N2,2021-10-14,EPI1926163
333,A/Maryland/12421/2021,H3N2,2021-10-14,EPI1926155
334,A/Maryland/12420/2021,H3N2,2021-10-14,EPI1926147
335,A/Maryland/12419/2021,H3N2,2021-10-14,EPI1926140
336,A/Maryland/12418/2021,H3N2,2021-10-14,EPI1926132
337,A/Maryland/12417/2021,H3N2,2021-10-14,EPI1926124
338,A/Maryland/12416/2021,H3N2,2021-10-14,EPI1926117
339,A/Maryland/12415/2021,H3N2,2021-10-14,EPI1926110
340,A/Maryland/12414/2021,H3N2,2021-10-14,EPI1926102
341,A/Maryland/12413/2021,H3N2,2021-10-14,EPI1926094
342,A/Maryland/12412/2021,H3N2,2021-10-14,EPI1926086
343,A/Maryland/12411/2021,H3N2,2021-10-14,EPI1926078
344,A/Maryland/12410/2021,H3N2,2021-10-13,EPI1926070
345,A/Maryland/12409/2021,H3N2,2021-10-13,EPI1926064
346,A/Maryland/12408/2021,H3N2,2021-10-13,EPI1926056
347,A/Maryland/12407/2021,H3N2,2021-10-13,EPI1926048
348,A/Maryland/12406/2021,H3N2,2021-10-13,EPI1926040
349,A/Maryland/12405/2021,H3N2,2021-10-13,EPI1926032
350,A/Maryland/12404/2021,H3N2,2021-10-13,EPI1926024
351,A/Maryland/12403/2021,H3N2,2021-10-12,EPI1926016
352,A/Maryland/12402/2021,H3N2,2021-10-12,EPI1926008
353,A/Maryland/12401/2021,H3N2,2021-10-12,EPI1926000
354,A/Maryland/12400/2021,H3N2,2021-10-12,EPI1925992
355,A/Maryland/12399/2021,H3N2,2021-10-13,EPI1925984
356,A/Maryland/12398/2021,H3N2,2021-10-12,EPI1925976
357,A/Maryland/12397/2021,H3N2,2021-10-12,EPI1925968
358,A/Maryland/12396/2021,H3N2,2021-10-13,EPI1925963
359,A/Maryland/12395/2021,H3N2,2021-10-13,EPI1925955
360,A/Maryland/12394/2021,H3N2,2021-10-13,EPI1925948
361,A/Maryland/12393/2021,H3N2,2021-10-13,EPI1925940
362,A/Maryland/12392/2021,H3N2,2021-10-13,EPI1925932
363,A/Maryland/12391/2021,H3N2,2021-10-13,EPI1925926
364,A/Maryland/12390/2021,H3N2,2021-10-13,EPI1925918
365,A/Maryland/12389/2021,H3N2,2021-10-13,EPI1925910
366,A/Maryland/12388/2021,H3N2,2021-10-13,EPI1925902
367,A/Maryland/12387/2021,H3N2,2021-10-13,EPI1925894
368,A/Maryland/12386/2021,H3N2,2021-10-13,EPI1925886
369,A/Maryland/12385/2021,H3N2,2021-10-13,EPI1925882
370,A/Maryland/12384/2021,H3N2,2021-10-13,EPI1925874
371,A/Maryland/12383/2021,H3N2,2021-10-13,EPI1925866
372,A/Maryland/12382/2021,H3N2,2021-10-13,EPI1925858
373,A/Maryland/12381/2021,H3N2,2021-10-13,EPI1925850
374,A/Maryland/12380/2021,H3N2,2021-10-13,EPI1925842
375,A/Maryland/12379/2021,H3N2,2021-10-13,EPI1925835
376,A/Maryland/12378/2021,H3N2,2021-10-12,EPI1925827
377,A/Maryland/12377/2021,H3N2,2021-10-12,EPI1925819
378,A/Maryland/12376/2021,H3N2,2021-10-12,EPI1925811
379,A/Maryland/12375/2021,H3N2,2021-10-12,EPI1925803
380,A/Maryland/12374/2021,H3N2,2021-10-12,EPI1925795
381,A/Maryland/12373/2021,H3N2,2021-10-12,EPI1925787
382,A/Maryland/12372/2021,H3N2,2021-10-12,EPI1925779
383,A/Maryland/12371/2021,H3N2,2021-10-12,EPI1925771
384,A/Maryland/12370/2021,H3N2,2021-10-12,EPI1925763
385,A/Maryland/12369/2021,H3N2,2021-10-12,EPI1925755
386,A/Maryland/12368/2021,H3N2,2021-10-12,EPI1925747
387,A/Maryland/12367/2021,H3N2,2021-10-12,EPI1925741
388,A/Maryland/12366/2021,H3N2,2021-10-12,EPI1925736
389,A/Maryland/12365/2021,H3N2,2021-10-12,EPI1925728
390,A/Maryland/12364/2021,H3N2,2021-10-12,EPI1925720
391,A/Maryland/12363/2021,H3N2,2021-10-12,EPI1925712
392,A/Maryland/12362/2021,H3N2,2021-10-12,EPI1925705
393,A/Maryland/12361/2021,H3N2,2021-10-12,EPI1925701
394,A/Maryland/12360/2021,H3N2,2021-10-12,EPI1925693
395,A/Maryland/12359/2021,H3N2,2021-10-12,EPI1925685
396,A/Maryland/12358/2021,H3N2,2021-10-12,EPI1925677
