,name,subtype,collection_date,accession
36,A/wild_duck/Korea/H42/2021,H7N3,2021-01-11,EPI1886174
37,A/wild_duck/Korea/H214/2021,H7N3,2021-03-02,EPI1886190
38,A/ruddy_turnstone/Delaware_Bay/225/2020,H7N3,2020-05-29,EPI1894252
39,A/mallard/Ukraine/AN-221-13-01/2020,H7N2,2020-01-13,EPI1894443
40,A/mallard/Ukraine/AN-223-13-01/2020,H7N3,2020-01-13,EPI1894567
41,A/Ruddy_Turnstone/Delaware_Bay/520/2020,H7N3,2020-05-29,EPI1894745
42,A/Semipalmated_Sandpiper/Delaware_Bay/508/2020,H7N3,2020-05-29,EPI1894755
43,A/Ruddy_Turnstone/Delaware_Bay/604/2020,H7N8,2020-05-29,EPI1894769
44,A/Ruddy_Turnstone/Delaware_Bay/473/2020,H7N6,2020-05-29,EPI1894779
45,A/Sanderling/Delaware_Bay/564/2020,H7N3,2020-05-29,EPI1894781
46,A/Ruddy_Turnstone/Delaware_Bay/494/2020,H7N3,2020-05-29,EPI1894790
47,A/Semipalmated_Sandpiper/Delaware_Bay/529/2020,H7N6,2020-05-29,EPI1894810
48,A/ruddy_turnstone/Delaware_Bay/407/2020,H7N3,2020-05-29,EPI1894840
49,A/Ruddy_Turnstone/Delaware_Bay/501/2020,H7N3,2020-05-29,EPI1894872
50,A/Ruddy_Turnstone/Delaware_Bay/578/2020,H7N3,2020-05-29,EPI1894874
51,A/Ruddy_Turnstone/Delaware_Bay/535/2020,H7N3,2020-05-29,EPI1894887
52,A/Sanderling/Delaware_Bay/538/2020,H7N3,2020-05-29,EPI1894911
53,A/Sanderling/Delaware_Bay/509/2020,H7N3,2020-05-29,EPI1894915
54,A/Ruddy_Turnstone/Delaware_Bay/502/2020,H7N3,2020-05-29,EPI1894922
55,A/Semipalmated_Sandpiper/Delaware_Bay/506/2020,H7N3,2020-05-29,EPI1894942
56,A/Ruddy_Turnstone/Delaware_Bay/465/2020,H7N3,2020-05-29,EPI1894957
57,A/Red-Necked_Stint/Delaware_Bay/428/2020,H7N6,2020-05-29,EPI1894976
58,A/ruddy_turnstone/Delaware_Bay/375/2020,H7N6,2020-05-29,EPI1894998
59,A/ruddy_turnstone/Delaware_Bay/392/2020,H7N3,2020-05-29,EPI1895003
60,A/Ruddy_Turnstone/Delaware_Bay/424/2020,H7N3,2020-05-29,EPI1895028
61,A/Sanderling/Delaware_Bay/536/2020,H7N3,2020-05-29,EPI1895041
62,A/ruddy_turnstone/Delaware_Bay/360/2020,H7N3,2020-05-29,EPI1895053
63,A/Ruddy_Turnstone/Delaware_Bay/460/2020,H7N3,2020-05-29,EPI1895071
64,A/Ruddy_Turnstone/Delaware_Bay/462/2020,H7N3,2020-05-29,EPI1895086
65,A/Red_Knot/Delaware_Bay/435/2020,H7N3,2020-05-29,EPI1895097
66,A/ruddy_turnstone/Delaware_Bay/370/2020,H7N9,2020-05-29,EPI1895106
67,A/Ruddy_Turnstone/Delaware_Bay/446/2020,H7N3,2020-05-29,EPI1895113
68,A/Red_Knot/Delaware_Bay/429/2020,H7N3,2020-05-30,EPI1895137
69,A/Laughing_Gull/Delaware_Bay/397/2020,H7N3,2020-05-29,EPI1895143
70,A/ruddy_turnstone/Delaware_Bay/304/2020,H7N3,2020-05-29,EPI1895164
71,A/ruddy_turnstone/Delaware_Bay/331/2020,H7N3,2020-05-29,EPI1895170
72,A/ruddy_turnstone/Delaware_Bay/337/2020,H7N3,2020-05-29,EPI1895212
73,A/ruddy_turnstone/Delaware_Bay/327/2020,H7N9,2020-05-29,EPI1895272
74,A/ruddy_turnstone/Delaware_Bay/285/2020,H7N3,2020-05-29,EPI1895295
75,A/ruddy_turnstone/Delaware_Bay/338/2020,H7N3,2020-05-29,EPI1895303
76,A/ruddy_turnstone/Delaware_Bay/282/2020,H7N3,2020-05-29,EPI1895317
77,A/ruddy_turnstone/Delaware_Bay/334/2020,H7N3,2020-05-29,EPI1895321
78,A/ruddy_turnstone/Delaware_Bay/280/2020,H7N6,2020-05-29,EPI1895347
79,A/ruddy_turnstone/Delaware_Bay/276/2020,H7N3,2020-05-29,EPI1895355
80,A/ruddy_turnstone/Delaware_Bay/298/2020,H7N3,2020-05-29,EPI1895362
81,A/ruddy_turnstone/Delaware_Bay/265/2020,H7N3,2020-05-29,EPI1895372
82,A/ruddy_turnstone/Delaware_Bay/275/2020,H7N3,2020-05-29,EPI1895390
83,A/ruddy_turnstone/Delaware_Bay/346/2020,H7N6,2020-05-29,EPI1895411
84,A/ruddy_turnstone/Delaware_Bay/260/2020,H7N3,2020-05-29,EPI1895419
85,A/ruddy_turnstone/Delaware_Bay/279/2020,H7N3,2020-05-29,EPI1895426
86,A/ruddy_turnstone/Delaware_Bay/257/2020,H7N3,2020-05-29,EPI1895433
87,A/ruddy_turnstone/Delaware_Bay/261/2020,H7N3,2020-05-29,EPI1895439
88,A/ruddy_turnstone/Delaware_Bay/292/2020,H7N3,2020-05-29,EPI1895450
89,A/ruddy_turnstone/Delaware_Bay/274/2020,H7N3,2020-05-29,EPI1895468
90,A/ruddy_turnstone/Delaware_Bay/253/2020,H7N3,2020-05-29,EPI1895491
91,A/ruddy_turnstone/Delaware_Bay/249/2020,H7N3,2020-05-29,EPI1895508
92,A/ruddy_turnstone/Delaware_Bay/303/2020,H7N3,2020-05-29,EPI1895537
93,A/ruddy_turnstone/Delaware_Bay/283/2020,H7N3,2020-05-29,EPI1895555
94,A/ruddy_turnstone/Delaware_Bay/254/2020,H7N3,2020-05-29,EPI1895571
95,A/ruddy_turnstone/Delaware_Bay/277/2020,H7N3,2020-05-29,EPI1895578
96,A/ruddy_turnstone/Delaware_Bay/236/2020,H7N3,2020-05-29,EPI1895602
97,A/Ruddy_Turnstone/Delaware_Bay/463/2020,H7N3,2020-05-29,EPI1895613
98,A/ruddy_turnstone/Delaware_Bay/223/2020,H7N3,2020-05-29,EPI1895638
99,A/ruddy_turnstone/Delaware_Bay/246/2020,H7N3,2020-05-29,EPI1895643
100,A/ruddy_turnstone/Delaware_Bay/291/2020,H7N3,2020-05-29,EPI1895651
101,A/ruddy_turnstone/Delaware_Bay/177/2020,H7N3,2020-05-29,EPI1895664
102,A/ruddy_turnstone/Delaware_Bay/221/2020,H7N3,2020-05-29,EPI1895672
103,A/ruddy_turnstone/Delaware_Bay/157/2020,H7N3,2020-05-29,EPI1895679
104,A/ruddy_turnstone/Delaware_Bay/224/2020,H7N3,2020-05-29,EPI1895685
105,A/ruddy_turnstone/Delaware_Bay/228/2020,H7N3,2020-05-29,EPI1895693
106,A/ruddy_turnstone/Delaware_Bay/158/2020,H7N3,2020-05-29,EPI1895703
107,A/ruddy_turnstone/Delaware_Bay/281/2020,H7N6,2020-05-29,EPI1895707
108,A/ruddy_turnstone/Delaware_Bay/199/2020,H7N3,2020-05-29,EPI1895719
109,A/ruddy_turnstone/Delaware_Bay/206/2020,H7N3,2020-05-29,EPI1895724
110,A/ruddy_turnstone/Delaware_Bay/66/2020,H7N3,2020-05-29,EPI1895762
111,A/ruddy_turnstone/Delaware_Bay/176/2020,H7N3,2020-05-29,EPI1895822
112,A/ruddy_turnstone/Delaware_Bay/210/2020,H7N6,2020-05-29,EPI1895828
113,A/ruddy_turnstone/Delaware_Bay/144/2020,H7N3,2020-05-29,EPI1895853
114,A/Dunlin/Delaware_Bay/411/2020,H7N9,2020-05-29,EPI1898062
115,A/mallard/Denmark/12947-12/2020-10-26(H7N5),H7N5,2020-10-26,EPI1918913
116,A/chicken/Northern_China/BJ3426/2020(H7N9),H7N9,2020-05-19,EPI1921168
117,A/chicken/Northern_China/SX1616/2020(H7N9),H7N9,2020-10-20,EPI1921176
118,A/mallard/Korea/H118/2021,H7N9,2021-02-01,EPI1924082
119,A/wild_duck/Korea/H296/2020,H7N9,2020-11-03,EPI1924083
120,A/mallard/South_Korea/20X-20/2021,H7N9,2021-01-06,EPI1930789
121,A/mallard/South_Korea/34X-2/2021,H7N7,2021-01-27,EPI1930797
122,A/Chicken/Yunnan/1008/2021,H7N9,2021-03-09,EPI1932920
123,A/domestic_goose/Italy/21VIR649/2021,H7N7,2021-01-29,EPI1947230
124,A/common_teal/Italy/21VIR49-88/2021,H7N3,2021-01-07,EPI1947238
125,A/Anas_platyrhynchos/Belgium/8777_003/2021,H7N8,2021-06-27,EPI1966310
126,A/Camel/Inner_Mongolia/XL/2020,H7N9,2020-03-01,EPI2026202
127,A/wild_bird/Shandong/W1549/2020,H7N7,2020-03-15,EPI2031705
128,A/wild_bird/Shandong/W1551/2020,H7N7,2020-03-15,EPI2031713
129,A/wild_bird/Shandong/W1552/2020,H7N7,2020-03-15,EPI2031721
130,A/wild_bird/Shandong/W1553/2020,H7N7,2020-03-15,EPI2031729
131,A/ostrich/South_Africa/070595/2020,H7N1,2020-08-04,EPI2044467
132,A/ostrich/South_Africa/653561/2020,H7N1,2020-08-21,EPI2044475
133,A/ostrich/South_Africa/080067/2020,H7N1,2020-08-03,EPI2044483
134,A/Anas_platyrhynchos/Belgium/2988_0002/2021,H7N7,2021-12-08,EPI2122927
135,A/Ruddy_Turnstone/Delaware/128/2021,H7N3,2021-06-01,EPI2147838
136,A/Mallard(Anas_platyrhynchos)/South_Korea/KNU2021-49/2021,H7N7,2021-04-06,EPI2153566
137,A/Mallard(Anas_platyrhynchos)/South_Korea/KNU2021-48/2021,H7N7,2021-03-15,EPI2153574
138,A/Duck/California/B2100067/2021,H7N3,2021-10-01,EPI2154333
139,A/Quail/California/K2102061/2021,H7N3,2021-09-30,EPI2154341
140,A/Quail/California/K2102092_1.2/2021,H7N3,2021-10-06,EPI2154349
141,A/Quail/California/K2102092_1.3/2021,H7N3,2021-10-06,EPI2154357
142,A/duck/Bangladesh/51658/2021,H7N7,2021-12-18,EPI2162907
143,A/Shanghai/02/2013,H7N9,2013-03-05,EPI448938
144,A/chicken/Korea/LBM314/2020,H9N2,2020-06-23,EPI1759157
145,A/chicken/Korea/LBM261/2020,H9N2,2020-06-17,EPI1759165
146,A/mallard/Russia_Primorje/48T/2020,H9N2,2020-09-08,EPI1849948
147,A/chicken/Laos/DC4170/2020,H9N2,2020-02-18,EPI1850985
148,A/duck/Laos/DC4184/2020,H9N2,2020-02-18,EPI1850988
149,A/Envionment/Laos/DC4191/2020,H9N2,2020-02-18,EPI1851228
150,A/duck/Laos/DC4383/2020,H9N2,2020-03-16,EPI1851235
151,A/chicken/Laos/DC6058/2020,H9N2,2020-09-14,EPI1851241
152,A/chicken/Laos/DC3915/2020,H9N2,2020-01-22,EPI1851247
153,A/chicken/Laos/DC3916/2020,H9N2,2020-01-22,EPI1851254
154,A/chicken/Laos/DC4152/2020,H9N2,2020-02-18,EPI1851261
155,A/chicken/Laos/DC4154/2020,H9N2,2020-02-18,EPI1851267
156,A/chicken/Laos/DC4156/2020,H9N2,2020-02-18,EPI1851273
157,A/chicken/Laos/DC4171/2020,H9N2,2020-02-18,EPI1851279
158,A/chicken/Laos/DC4178/2020,H9N2,2020-02-18,EPI1851285
159,A/duck/Laos/DC4166/2020,H9N2,2020-02-18,EPI1851291
160,A/duck/Laos/DC4168/2020,H9N2,2020-02-18,EPI1851296
161,A/duck/Laos/DC4185/2020,H9N2,2020-02-18,EPI1851302
162,A/duck/Laos/DC4186/2020,H9N2,2020-02-18,EPI1851309
163,A/chicken/Laos/DC4043/2020,H9N2,2020-02-18,EPI1851314
164,A/chicken/Laos/DC4047/2020,H9N2,2020-02-18,EPI1851320
165,A/chicken/Laos/DC4049/2020,H9N2,2020-02-18,EPI1851326
166,A/chicken/Laos/DC4050/2020,H9N2,2020-02-18,EPI1851331
167,A/chicken/Laos/DC4051/2020,H9N2,2020-02-18,EPI1851337
168,A/chicken/Laos/DC4052/2020,H9N2,2020-02-18,EPI1851343
169,A/chicken/Laos/DC4053/2020,H9N2,2020-02-18,EPI1851349
170,A/duck/Laos/DC4030/2020,H9N2,2020-02-18,EPI1851355
171,A/duck/Laos/DC4032/2020,H9N2,2020-02-18,EPI1851361
172,A/duck/Laos/DC4056/2020,H9N2,2020-02-18,EPI1851367
173,A/duck/Laos/DC4057/2020,H9N2,2020-02-18,EPI1851373
174,A/chicken/Laos/DC4365/2020,H9N2,2020-03-16,EPI1851379
175,A/chicken/Laos/DC4366/2020,H9N2,2020-03-16,EPI1851385
176,A/chicken/Laos/DC4370/2020,H9N2,2020-03-16,EPI1851391
177,A/chicken/Laos/DC4371/2020,H9N2,2020-03-16,EPI1851397
178,A/chicken/Laos/DC4401/2020,H9N2,2020-03-16,EPI1851403
179,A/chicken/Laos/DC4402/2020,H9N2,2020-03-16,EPI1851409
180,A/chicken/Laos/DC4406/2020,H9N2,2020-03-16,EPI1851415
181,A/chicken/Laos/DC4407/2020,H9N2,2020-03-16,EPI1851421
182,A/chicken/Laos/DC4408/2020,H9N2,2020-03-16,EPI1851427
183,A/chicken/Laos/DC4378/2020,H9N2,2020-03-16,EPI1851433
184,A/duck/Laos/DC4355/2020,H9N2,2020-03-16,EPI1851437
185,A/duck/Laos/DC4362/2020,H9N2,2020-03-16,EPI1851441
186,A/duck/Laos/DC4379/2020,H9N2,2020-03-16,EPI1851446
187,A/duck/Laos/DC4380/2020,H9N2,2020-03-16,EPI1851452
188,A/duck/Laos/DC4381/2020,H9N2,2020-03-16,EPI1851458
189,A/duck/Laos/DC4382/2020,H9N2,2020-03-16,EPI1851464
190,A/chicken/Laos/DC4516/2020,H9N2,2020-03-20,EPI1851470
191,A/chicken/Laos/DC4518/2020,H9N2,2020-03-20,EPI1851476
192,A/chicken/Laos/DC4520/2020,H9N2,2020-03-20,EPI1851482
193,A/chicken/Laos/DC4524/2020,H9N2,2020-03-20,EPI1851488
194,A/duck/Laos/DC4494/2020,H9N2,2020-03-20,EPI1851494
195,A/duck/Laos/DC4497/2020,H9N2,2020-03-20,EPI1851499
196,A/duck/Laos/DC4508/2020,H9N2,2020-03-20,EPI1851505
197,A/duck/Laos/DC4538/2020,H9N2,2020-03-20,EPI1851511
198,A/duck/Laos/DC4539/2020,H9N2,2020-03-20,EPI1851517
199,A/duck/Laos/DC4540/2020,H9N2,2020-03-20,EPI1851523
200,A/duck/Laos/DC4541/2020,H9N2,2020-03-20,EPI1851529
201,A/duck/Laos/DC4542/2020,H9N2,2020-03-20,EPI1851535
202,A/duck/Laos/DC4543/2020,H9N2,2020-03-20,EPI1851541
203,A/chicken/Laos/DC5421/2020,H9N2,2020-07-21,EPI1851548
204,A/chicken/Laos/DC5423/2020,H9N2,2020-07-21,EPI1851556
205,A/chicken/Laos/DC5442/2020,H9N2,2020-07-21,EPI1851573
206,A/chicken/Laos/DC5626/2020,H9N2,2020-07-30,EPI1851582
207,A/chicken/Laos/DC5635/2020,H9N2,2020-07-30,EPI1851590
208,A/chicken/Laos/DC5678/2020,H9N2,2020-08-18,EPI1851606
209,A/chicken/Laos/DC5679/2020,H9N2,2020-08-18,EPI1851614
210,A/chicken/Laos/DC5683/2020,H9N2,2020-08-18,EPI1851636
211,A/chicken/Laos/DC5870/2020,H9N2,2020-08-23,EPI1851643
212,A/chicken/Laos/DC5685/2020,H9N2,2020-08-18,EPI1851751
213,A/chicken/Cambodia/f0318251/2021,H9N2,2021-03-09,EPI1858552
214,A/whooper_swan/Shanxi/SX126/2020,H9N2,2020-11-10,EPI1858884
215,A/chicken/Hebei/045/2020,H9N2,2020-06-22,EPI1898047
216,A/duck/Bangladesh/43418/2020,H9N2,2020-02-19,EPI1902944
217,A/chicken/Bangladesh/43448/2020,H9N2,2020-02-19,EPI1902950
218,A/duck/Bangladesh/43474/2020,H9N2,2020-02-19,EPI1903161
219,A/Falcated_duck/South_Korea/JB42-30/2020,H9N2,2020-02-19,EPI1903705
220,A/Falcated_duck/South_Korea/JB42-93/2020,H9N2,2020-02-19,EPI1903713
221,A/chicken/Benin/20-A-03-2026-E_20VIR6511-12/2020,H9N2,2020-03-17,EPI1904004
222,A/chicken/Benin/20-A-03-2027-E_20VIR6511-11/2020,H9N2,2020-03-17,EPI1904012
223,A/chicken/China/GD2021/2021,H9N2,2021-01-01,EPI1904265
224,A/chicken/China/07/2020,H9N2,2020-10-01,EPI1904662
225,A/quail/Bangladesh/45741/2020,H9N2,2020-08-22,EPI1904929
226,A/chicken/Bangladesh/45567/2020,H9N2,2020-06-16,EPI1904939
227,A/chicken/Bangladesh/45690/2020,H9N2,2020-06-16,EPI1904944
228,A/chicken/Bangladesh/45776/2020,H9N2,2020-08-22,EPI1904994
229,A/chicken/Bangladesh/45563/2020,H9N2,2020-06-16,EPI1905010
230,A/quail/Bangladesh/45745/2020,H9N2,2020-08-22,EPI1905020
231,A/chicken/Bangladesh/45697/2020,H9N2,2020-08-22,EPI1905029
232,A/chicken/Bangladesh/45782/2020,H9N2,2020-08-22,EPI1905041
233,A/quail/Bangladesh/45755/2020,H9N2,2020-08-22,EPI1905056
234,A/chicken/Pakistan/062BYP/2020,H9N2,2020-01-01,EPI1905097
235,A/chicken/Pakistan/061CP/2020,H9N2,2020-02-21,EPI1905098
236,A/chicken/Pakistan/041CP/2020,H9N2,2020-01-01,EPI1905099
237,A/Chicken/Guangdong/GZ15513/2020(H9N2),H9N2,2020-01-08,EPI1916719
238,A/Chicken/Guangdong/GZ15563/2020(H9N2),H9N2,2020-01-08,EPI1916727
239,A/White-fronted_Goose/South_Korea/KNU2020-152/2020,H9N2,2020-10-14,EPI1931700
240,A/pheasant/Italy/21VIR2284-1/2021,H9N2,2021-03-25,EPI1947246
241,A/chicken/Korea/SL20/2020,H9N2,2020-12-03,EPI1949178
242,A/chicken/Morocco/17_6650_21RS1333-19/2020,H9N2,2020-11-28,EPI1950192
243,A/chicken/Morocco/14-1_4636_21RS1333-14/2020,H9N2,2020-03-20,EPI1950199
244,A/chicken/Morocco/24_520_21RS1333-28/2021,H9N2,2021-03-18,EPI1950207
245,A/chicken/Morocco/21_4374_21RS1333-23/2020,H9N2,2020-02-25,EPI1950275
246,A/chicken/Morocco/10_4437_21RS1333-10/2020,H9N2,2020-02-29,EPI1950291
247,A/chicken/Morocco/11_4438_21RS1333-11/2020,H9N2,2020-02-29,EPI1950299
248,A/chicken/Morocco/12_4476_21RS1333-12/2020,H9N2,2020-03-03,EPI1950307
249,A/chicken/Morocco/9_4410_21RS1333-9/2020,H9N2,2020-02-26,EPI1950323
250,A/chicken/Morocco/25-2_3155_21RS1333-30/2021,H9N2,2021-04-09,EPI1950347
251,A/chicken/Morocco/18_6657_21RS1333-20/2020,H9N2,2020-11-30,EPI1950363
252,A/chicken/Morocco/16-1_6595_21RS1333-17/2020,H9N2,2020-11-23,EPI1950368
253,A/chicken/Morocco/16-2_6595_21RS1333-18/2020,H9N2,2020-11-23,EPI1950374
254,A/chicken/Morocco/22-1_72_21RS1333-24/2021,H9N2,2021-02-11,EPI1950382
255,A/chicken/Thanh_Hoa/V1S5VTC/2020,H9N2,2020-06-12,EPI1963113
256,A/chicken/Thanh_Hoa/V1S5VTC/2020,H9N2,2020-06-12,EPI1963130
257,A/duck/Vietnam/HN6422/2020,H9N2,2020-07-03,EPI1974450
258,A/duck/Vietnam/HN6426/2020,H9N2,2020-07-03,EPI1974487
259,A/Muscovy_duck/Vietnam/HN6416/2020,H9N2,2020-07-03,EPI1974642
260,A/Muscovy_duck/Vietnam/HN6414/2020,H9N2,2020-07-03,EPI1974701
261,A/chicken/Bangladesh/19B558/2022,H9N2,2022-01-19,EPI1997240
262,A/chicken/Vietnam/HU15-630/2021,H9N2,2021-12-01,EPI2005398
263,A/chicken/Kenya/440560/2021,H9N2,2021-04-09,EPI2043196
264,A/chicken/China/2034/2020,H9N2,2020-01-20,EPI2116763
265,A/chicken/China/2038/2020,H9N2,2020-01-25,EPI2116771
266,A/chicken/China/2040/2020,H9N2,2020-01-10,EPI2116779
267,A/chicken/China/2042/2020,H9N2,2020-01-05,EPI2116787
268,A/chicken/China/2046/2020,H9N2,2020-01-04,EPI2116795
269,A/chicken/China/2051/2020,H9N2,2020-01-06,EPI2116803
270,A/chicken/China/2068/2020,H9N2,2020-06-01,EPI2116811
271,A/chicken/China/2088/2020,H9N2,2020-06-08,EPI2116819
272,A/chicken/China/2090/2020,H9N2,2020-06-15,EPI2116827
273,A/chicken/China/2094/2021,H9N2,2021-11-12,EPI2116835
274,A/chicken/China/2096/2021,H9N2,2021-11-29,EPI2116843
275,A/chicken/China/2106/2021,H9N2,2021-11-30,EPI2116851
276,A/green-winged_teal/Alaska/AK20-459/2020,H9N2,2020-10-21,EPI2142870
277,A/wild_bird/Victoria/20-03245-0029/2020,H9N2,2020-08-23,EPI2144717
278,A/chicken/South_Korea/N20-132/2020,H9N2,2020-08-23,EPI2147112
279,A/chicken/Bangladesh/46059/2020,H9N2,2020-10-22,EPI2147525
280,A/quail/Bangladesh/46103/2020,H9N2,2020-10-22,EPI2147532
281,A/chicken/Bangladesh/46125/2020,H9N2,2020-10-22,EPI2147547
282,A/quail/Bangladesh/46266/2020,H9N2,2020-12-21,EPI2147562
283,A/chicken/Bangladesh/46330/2020,H9N2,2020-12-21,EPI2147584
284,A/quail/Bangladesh/46264/2020,H9N2,2020-12-21,EPI2147599
285,A/chicken/Bangladesh/46338/2020,H9N2,2020-12-21,EPI2147621
286,A/chicken/Bangladesh/46129/2020,H9N2,2020-10-22,EPI2147673
287,A/chicken/Egypt/S18992/2020,H9N2,2020-08-12,EPI2152472
288,A/chicken/Egypt/S19712/2021,H9N2,2021-02-12,EPI2152480
289,A/chicken/Egypt/N19598D/2021,H9N2,2021-01-24,EPI2152488
290,A/chicken/Egypt/S19338B/2020,H9N2,2020-11-07,EPI2152496
291,A/chicken/Egypt/A19165/2020,H9N2,2020-09-22,EPI2152504
292,A/chicken/Egypt/S19338D/2020,H9N2,2020-11-07,EPI2152515
293,A/chicken/Egypt/S18755A/2020,H9N2,2020-06-10,EPI2152523
294,A/chicken/Egypt/D19479/2020,H9N2,2020-12-21,EPI2152531
295,A/chicken/Egypt/S19326B/2020,H9N2,2020-11-07,EPI2152539
296,A/chicken/Egypt/N19599A/2021,H9N2,2021-01-24,EPI2152547
297,A/chicken/Egypt/S19326A/2020,H9N2,2020-11-07,EPI2152555
298,A/chicken/Egypt/N19766D/2021,H9N2,2021-02-25,EPI2152563
299,A/chicken/Egypt/D19481/2020,H9N2,2020-12-21,EPI2152571
300,A/chicken/Egypt/N19304A/2020,H9N2,2020-10-26,EPI2152579
301,A/chicken/Egypt/S19714/2021,H9N2,2021-02-12,EPI2152587
302,A/chicken/Egypt/D19486A/2020,H9N2,2020-12-21,EPI2152603
303,A/chicken/Egypt/S19338A/2020,H9N2,2020-11-07,EPI2152611
304,A/chicken/Egypt/S18755B/2020,H9N2,2020-06-10,EPI2152619
305,A/chicken/Egypt/S19326D/2020,H9N2,2020-11-07,EPI2152627
306,A/chicken/Egypt/N19600D/2021,H9N2,2021-01-24,EPI2152635
307,A/chicken/Egypt/N19764B/2021,H9N2,2021-02-25,EPI2152643
308,A/chicken/Egypt/S18985A/2020,H9N2,2020-08-12,EPI2152651
309,A/chicken/Egypt/N19764C/2021,H9N2,2021-02-25,EPI2152659
310,A/chicken/Egypt/S18985B/2020,H9N2,2020-08-12,EPI2152667
311,A/chicken/Egypt/S19708B/2021,H9N2,2021-02-12,EPI2152675
312,A/chicken/Egypt/N19078B/2020,H9N2,2020-08-29,EPI2152683
313,A/chicken/Egypt/N19606C/2021,H9N2,2021-01-24,EPI2152691
314,A/chicken/Egypt/N19604C/2021,H9N2,2021-01-24,EPI2152699
315,A/chicken/Egypt/S19326C/2020,H9N2,2020-11-07,EPI2152707
316,A/chicken/Egypt/S18755C/2020,H9N2,2020-06-10,EPI2152715
317,A/chicken/Egypt/N19302B/2020,H9N2,2020-10-26,EPI2152723
318,A/chicken/Egypt/D19486B/2020,H9N2,2020-12-21,EPI2152731
319,A/chicken/Egypt/N19598C/2021,H9N2,2021-01-24,EPI2152739
320,A/chicken/Egypt/N19604D/2021,H9N2,2021-01-24,EPI2152747
321,A/chicken/Egypt/N19072C/2020,H9N2,2020-08-29,EPI2152755
322,A/chicken/Egypt/N19598A/2021,H9N2,2021-01-24,EPI2152763
323,A/chicken/Egypt/A19618/2021,H9N2,2021-01-26,EPI2152771
324,A/chicken/Egypt/A19244/2020,H9N2,2020-10-11,EPI2152779
325,A/chicken/Egypt/D19290D/2020,H9N2,2020-10-25,EPI2152787
326,A/chicken/Egypt/D19292/2020,H9N2,2020-10-25,EPI2152795
327,A/chicken/Egypt/N18851C/2020,H9N2,2020-06-23,EPI2152807
328,A/chicken/Egypt/N19600A/2021,H9N2,2021-01-24,EPI2152822
