,name,subtype,collection_date,accession
0,A/turkey/North_Carolina/20-007948-002/2020,H7N3,2020-03-10,EPI1775511
1,A/turkey/North_Carolina/20-007948-003/2020,H7N3,2020-03-10,EPI1775519
2,A/turkey/North_Carolina/20-007948-005/2020,H7N3,2020-03-10,EPI1775527
3,A/turkey/North_Carolina/20-007949-001/2020,H7N3,2020-03-09,EPI1775535
4,A/turkey/North_Carolina/20-007949-002/2020,H7N3,2020-03-09,EPI1775543
5,A/turkey/North_Carolina/20-008256-001/2020,H7N3,2020-03-12,EPI1775551
6,A/turkey/North_Carolina/20-008256-002/2020,H7N3,2020-03-12,EPI1775559
7,A/turkey/North_Carolina/20-008257-001/2020,H7N3,2020-03-12,EPI1775567
8,A/turkey/North_Carolina/20-008257-002/2020,H7N3,2020-03-12,EPI1775575
9,A/turkey/North_Carolina/20-008258-001/2020,H7N3,2020-03-12,EPI1775583
10,A/turkey/North_Carolina/20-008258-002/2020,H7N3,2020-03-12,EPI1775591
11,A/turkey/North_Carolina/20-008421-001/2020,H7N3,2020-03-15,EPI1775599
12,A/turkey/North_Carolina/20-008734-001/2020,H7N3,2020-03-17,EPI1775623
13,A/turkey/North_Carolina/20-009000-001/2020,H7N3,2020-03-19,EPI1775631
14,A/turkey/North_Carolina/20-009000-002/2020,H7N3,2020-03-19,EPI1775639
15,A/turkey/North_Carolina/20-009000-004/2020,H7N3,2020-03-19,EPI1775647
16,A/turkey/North_Carolina/20-010036-002/2020,H7N3,2020-03-30,EPI1775655
17,A/turkey/North_Carolina/20-010036-004/2020,H7N3,2020-03-30,EPI1775663
18,A/turkey/North_Carolina/20-010036-005/2020,H7N3,2020-03-30,EPI1775671
19,A/turkey/North_Carolina/20-008395-002/2020,H7N3,2020-03-13,EPI1775679
20,A/turkey/North_Carolina/20-008395-003/2020,H7N3,2020-03-13,EPI1775687
21,A/turkey/South_Carolina/20-008394-001/2020,H7N3,2020-03-13,EPI1775695
22,A/turkey/South_Carolina/20-010561-002/2020,H7N3,2020-04-06,EPI1775703
23,A/turkey/South_Carolina/20-010561-003/2020,H7N3,2020-04-06,EPI1775711
24,A/turkey/South_Carolina/20-010561-004/2020,H7N3,2020-04-06,EPI1775719
25,A/turkey/South_Carolina/20-010561-005/2020,H7N3,2020-04-06,EPI1775727
26,A/turkey/South_Carolina/20-010561-006/2020,H7N3,2020-04-06,EPI1775735
27,A/mallard/Yakutia/47/2020,H7N7,2020-08-13,EPI1848202
28,A/Chicken/Yunnan/1001/2021,H7N9,2021-02-10,EPI1856833
29,A/Chicken/Yunnan/1002/2021,H7N9,2021-02-10,EPI1856841
30,A/Chicken/Yunnan/1003/2021,H7N9,2021-02-10,EPI1856849
31,A/Chicken/Yunnan/1004/2021,H7N9,2021-02-10,EPI1856861
32,A/Chicken/Hebei/1009/2020,H7N9,2020-11-30,EPI1857092
33,A/Chicken/Hebei/1011/2021,H7N9,2021-01-10,EPI1857203
34,A/Chicken/Shanxi/1012/2021,H7N9,2021-02-10,EPI1857211
35,A/wild_duck/Korea/H333/2020,H7N8,2020-11-17,EPI1886166
