step,mean,std,bottom,top
1,2578.6,3.9749213828703582,2570.650157234259,2586.549842765741
2,2015.0,3.1622776601683795,2008.6754446796633,2021.3245553203367
3,1843.6,1.8165902124584952,1839.9668195750828,1847.233180424917
4,1705.2,2.8635642126552705,1699.4728715746894,1710.9271284253107
5,1593.8,1.0954451150103324,1591.6091097699793,1595.9908902300206
