year,random,qnet
2014,0.03217391304347826,0.0
2015,0.16086956521739132,0.0
2016,0.19565217391304346,0.0
2017,0.22521739130434784,0.36
2018,0.28956521739130436,0.52
2019,0.09652173913043478,0.12
