qnetvariance,randomvariance,step
8.768298113071082e-08,1.078204775372245e-05,1
9.005711877975353e-08,1.3280492640301923e-05,2
1.5106473967118477e-07,1.4662600517772761e-05,3
2.9113176829387056e-07,1.533379672356944e-05,4
2.1821792215519008e-07,1.7942613353175567e-05,5
